"gamma","epsilon","c","test_r2"
"0.18867216","0.63796765","33.88341","0.02802420357583446"
"2.7190862","0.13648762","2.7283912","0.02772181518845651"
"0.8401212","0.2742985","7.791842","0.023697539171376847"
"0.25047693","0.3091411","24.757065","0.02180387896113023"
"0.2320528","0.01617497","26.674616","0.018463060454344205"
"0.36734256","0.019556373","16.80118","0.017632702949542223"
"0.072886005","0.73435193","79.49961","0.01702698051227436"
"0.78764635","0.030236678","7.516172","0.014404894426090942"
"1.8947875","0.028555077","3.510535","0.013947824731204261"
"0.96622473","0.035600737","5.8961873","0.009556836616797848"
"13.895882","0.9456991","0.8856864","0.009519005274836512"
"32.667755","0.034065094","0.86443394","0.0064297852645243125"
"0.8428761","0.3769096","6.543729","0.006357715618198645"
"0.36570358","0.015326921","14.594963","0.0024427745602314532"
"0.26647192","0.7832144","19.739767","0.0012724656679286017"
"57.472454","0.021453943","1.1950071","6.212105716091321E-4"
"0.12425001","0.014884914","41.663876","1.9666539391516302E-4"
"10.94586","0.11444865","0.91749203","-0.004668770412631806"
"1.0577577","0.69286066","5.104123","-0.005134031524636651"
"2.2627394","0.016838292","2.5206218","-0.007424808895226898"
"58.191704","0.042475194","1.1687423","-0.008433978986121637"
"17.512815","0.07214144","0.8006537","-0.009559130474022348"
"95.39555","0.091685556","2.2669766","-0.011325161478364931"
"12.598387","0.06921895","0.81245404","-0.012832965835102295"
"0.18518881","0.01814066","26.66606","-0.012859067313755856"
"3.1385844","0.043735083","1.884268","-0.013396032628602228"
"0.19653143","0.14683682","24.876017","-0.01721945945823955"
"0.7893452","0.82579035","6.256569","-0.020609746016945207"
"31.569492","0.15698522","0.7844845","-0.021126766443924083"
"0.7817376","0.07620873","6.3509793","-0.02604135121812501"
"17.311283","0.38532028","0.70069444","-0.026824017157175195"
"94.67694","0.08656982","1.9768455","-0.03154292573143613"
"0.7229202","0.35342988","6.6636376","-0.03281801425929598"
"4.6395016","0.013413846","1.308976","-0.0365091625892795"
"0.16419229","0.08883185","27.159996","-0.039259479989744994"
"0.31062126","0.10607433","13.796214","-0.04129526189392596"
"1.4833018","0.09045655","3.2482374","-0.0416139795843502"
"0.8609363","0.4270804","5.2292147","-0.041620145360120375"
"34.76024","0.30245098","0.72137976","-0.04209306677605751"
"0.2255907","0.52235025","18.362228","-0.0422381833647667"
"0.11208839","0.014637187","36.245968","-0.04253538636752441"
"1.728599","0.35272878","2.7596588","-0.042855351768644745"
"0.95581084","0.12085242","4.5889335","-0.04291770642663262"
"1.7981125","0.3492742","2.6329396","-0.043366568825829566"
"74.75972","0.010561473","1.3425276","-0.04337964702502273"
"2.3989162","0.040625114","2.0752208","-0.04386839854638658"
"0.18533763","0.019353634","21.296755","-0.04392960935321377"
"0.04007522","0.3932314","96.902664","-0.0439997417255622"
"0.7999549","0.010876639","5.2233953","-0.04411146356102602"
"2.373741","0.5276603","1.9892199","-0.04552788192031154"
"1.4000405","0.021689085","2.9167125","-0.04718358575743964"
"34.834732","0.71114683","0.7113428","-0.04911565169281373"
"3.9507039","0.646216","1.2544695","-0.049326057692171466"
"5.6998005","0.01998825","1.0012977","-0.05066732145394415"
"0.13351665","0.31098938","27.0646","-0.051172247655030034"
"1.9221807","0.07544252","2.0471516","-0.05179108195386917"
"5.4070563","0.0740907","0.92159766","-0.053763927409013146"
